register_id,direction,origin,destination,year,date,product,transport_mode,company_name,total_value
1,Exports,Japan,China,2015,31/01/15,Cars,Sea,Honda,33000000
2,Exports,Japan,China,2015,01/02/15,Cars,Sea,Honda,16000000
3,Exports,Japan,China,2015,02/02/15,Cars,Sea,Honda,29000000
4,Exports,Japan,China,2015,03/02/15,Cars,Sea,Honda,14000000
5,Exports,Japan,China,2015,04/02/15,Cars,Sea,Honda,17000000
6,Exports,Japan,China,2015,05/02/15,Cars,Sea,Honda,20000000
7,Exports,Japan,China,2015,06/02/15,Cars,Sea,Honda,27000000
8,Exports,Japan,China,2015,07/02/15,Cars,Sea,Honda,33000000
9,Exports,Japan,USA,2015,08/02/15,Machinery and electronics,Air,ReachExt J.J,15000000
10,Exports,Japan,USA,2015,09/02/15,Machinery and electronics,Air,ReachExt J.J,31000000
11,Exports,Japan,USA,2015,10/02/15,Machinery and electronics,Air,ReachExt J.J,12000000
12,Exports,Japan,USA,2015,11/02/15,Machinery and electronics,Air,ReachExt J.J,10000000
13,Exports,Japan,USA,2015,12/02/15,Machinery and electronics,Air,ReachExt J.J,28000000
14,Exports,Japan,USA,2015,13/02/15,Machinery and electronics,Air,ReachExt J.J,32000000
15,Exports,Japan,USA,2015,14/02/15,Machinery and electronics,Air,ReachExt J.J,23000000
16,Exports,Japan,USA,2015,15/02/15,Machinery and electronics,Air,ReachExt J.J,33000000
17,Exports,Japan,USA,2015,16/02/15,Machinery and electronics,Air,ReachExt J.J,42000000
18,Exports,Japan,USA,2015,17/02/15,Machinery and electronics,Air,ReachExt J.J,32000000
19,Exports,Japan,USA,2015,18/02/15,Machinery and electronics,Air,ReachExt J.J,15000000
20,Exports,Japan,USA,2015,19/02/15,Machinery and electronics,Air,ReachExt J.J,45000000
21,Exports,Japan,USA,2015,20/02/15,Machinery and electronics,Air,ReachExt J.J,29000000
22,Exports,Japan,USA,2015,21/02/15,Machinery and electronics,Air,ReachExt J.J,32000000
23,Exports,Japan,USA,2015,22/02/15,Machinery and electronics,Air,ReachExt J.J,25000000
24,Exports,Japan,China,2015,23/02/15,Cars,Sea,Honda,41000000
25,Exports,Japan,China,2015,24/02/15,Cars,Sea,Honda,25000000
26,Exports,Japan,China,2015,25/02/15,Cars,Sea,Honda,15000000
27,Exports,Japan,China,2015,26/02/15,Cars,Sea,Honda,33000000
28,Exports,Japan,China,2015,27/02/15,Cars,Sea,Honda,42000000
29,Exports,Japan,China,2015,28/02/15,Cars,Sea,Honda,23000000
30,Exports,Japan,China,2015,01/03/15,Cars,Sea,Honda,41000000
31,Exports,Japan,China,2015,02/03/15,Cars,Sea,Honda,30000000
32,Exports,Japan,China,2015,03/03/15,Cars,Sea,Honda,21000000
33,Exports,Japan,China,2015,04/03/15,Cars,Sea,Honda,15000000
34,Exports,Japan,China,2015,05/03/15,Cars,Sea,Honda,28000000
35,Exports,Japan,China,2015,06/03/15,Cars,Sea,Honda,37000000
36,Exports,Japan,China,2015,07/03/15,Cars,Sea,Honda,21000000
37,Exports,Japan,China,2015,08/03/15,Cars,Sea,Honda,16000000
38,Exports,Japan,China,2015,09/03/15,Cars,Sea,Honda,32000000
39,Exports,Japan,China,2015,10/03/15,Cars,Sea,Toyota,19000000
40,Exports,Japan,China,2015,11/03/15,Cars,Sea,Toyota,13000000
41,Exports,Japan,China,2015,12/03/15,Cars,Sea,Toyota,37000000
42,Exports,Japan,China,2015,13/03/15,Cars,Sea,Toyota,32000000
43,Exports,Japan,China,2015,14/03/15,Cars,Sea,Toyota,10000000
44,Exports,Japan,China,2015,15/03/15,Cars,Sea,Toyota,21000000
45,Exports,Japan,China,2015,16/03/15,Cars,Sea,Toyota,39000000
46,Exports,Japan,China,2015,17/03/15,Cars,Sea,Toyota,17000000
47,Exports,Japan,China,2015,18/03/15,Cars,Sea,Toyota,12000000
48,Exports,Japan,South Korea,2015,19/03/15,Cars,Sea,Toyota,20000000
49,Exports,Japan,South Korea,2015,20/03/15,Cars,Sea,Toyota,33000000
50,Exports,Japan,South Korea,2015,21/03/15,Cars,Sea,Toyota,37000000
51,Exports,Japan,South Korea,2015,22/03/15,Cars,Sea,Toyota,31000000
52,Exports,Japan,South Korea,2015,23/03/15,Cars,Sea,Toyota,44000000
53,Exports,Japan,South Korea,2015,24/03/15,Cars,Sea,Toyota,13000000
54,Exports,Japan,South Korea,2015,25/03/15,Cars,Sea,Toyota,9000000
55,Exports,Japan,South Korea,2015,26/03/15,Cars,Sea,Toyota,33000000
56,Exports,Japan,South Korea,2015,27/03/15,Cars,Sea,Toyota,25000000
57,Exports,Japan,South Korea,2015,28/03/15,Cars,Sea,Toyota,21000000
58,Exports,Japan,South Korea,2015,29/03/15,Cars,Sea,Toyota,23000000
59,Exports,Japan,South Korea,2015,30/03/15,Cars,Sea,Toyota,29000000
60,Exports,Japan,South Korea,2015,31/03/15,Cars,Sea,Toyota,19000000
61,Exports,Japan,South Korea,2015,01/04/15,Cars,Sea,Toyota,19000000
62,Exports,Japan,South Korea,2015,02/04/15,Cars,Sea,Toyota,20000000
63,Exports,Japan,South Korea,2015,03/04/15,Cars,Sea,Toyota,38000000
64,Exports,Japan,South Korea,2015,04/04/15,Cars,Sea,Toyota,23000000
65,Exports,Japan,Spain,2015,05/04/15,Cars,Sea,Toyota,24000000
66,Exports,Japan,Spain,2015,06/04/15,Cars,Sea,Toyota,27000000
67,Exports,Japan,Spain,2015,07/04/15,Cars,Sea,Toyota,15000000
68,Exports,Japan,Spain,2015,08/04/15,Cars,Sea,Toyota,15000000
69,Exports,Japan,Spain,2015,09/04/15,Cars,Sea,Toyota,22000000
70,Exports,Japan,Spain,2015,10/04/15,Cars,Sea,Toyota,27000000
